"usernames2","titles2","dates2","reviews2","ratings2"
"chera_khalid","It was good","26 September 2023","""Avengers: Infinity War"" assembles the Marvel universe with my 7/10 rating, and I must say, I liked it. The acting, bolstered by a star-studded cast, shines as each hero grapples with the impending threat of Thanos. The film editing skillfully juggles multiple storylines, creating a relentless pace of action and emotion. Its strength lies in its portrayal of the cost of heroism and the weight of sacrifice, delivering a message that heroes are defined by their choices. The music, with Alan Silvestri's iconic theme, elevates the grandeur of the battles, and the cinematography captures the vastness of the Marvel cosmos. ""Infinity War"" is an epic culmination of a decade of storytelling, an emotional rollercoaster that left us eagerly awaiting the endgame.","10"
"mrmystery99","Great Fun!","29 April 2018","Highly recommmend watching this film. Lot of fun seeing it with a group of friends. After seeing it at the cinema, it leaves you completely shocked, with plenty of great comedic and dramatic moments scattered throughout. Definitely one of the greatest Marvel films to date.","9"
"DarthVoorhees","If you've followed it up to this point you are going to have a ball","20 May 2018","I suppose now is as good a time as any to give my impressions of 'Avengers Infinity War'. I've never been a huge fan of the MCU but that isn't to say I hate it. The MCU definitely has made some films that rank among the best of the comic book genre and then they've made movies like 'Iron Man 2' and 'Thor The Dark World' where I'd rather watch an all day Zach Snyder film fest. And so I am kind of in the audience that wants something from this and yet won't go too easy on it.

I liked it. This was a huge gamble as it has been hinted at for a decade but for the most part the movie delivers on it's promises. The stipulation being that the movie will only work if you have seen the entire Marvel catalogue good, bad and downright ugly and have had some level of appreciation. If you are on board the movie immediately becomes a giant set piece that really stretches the confines of what has been done before.

Josh Brolin makes the film. He gives in my opinion arguably the best performance in a MCU film. So much depends on Thanos and for a film that doesn't really have enough room for any extraneous sequences Brolin is able to develop an intriguing character who makes this cartoony McGuffin based evil plan have just a bit more nuance and weight. The scenes with Brolin and Zoe Saldana have an intimacy and tragedy that you really don't expect in a film with this breakneck speed.

I don't want to spoil this but the shocks have to be reevaluated next year when the sequel comes out. I'm willing to do that however as the setup here warrants interest and belief in the possibilities of the next episode. In a way 'Infinity War' is kind of a victim of the MCU being an undying franchise. We all know the reset button is going to be pressed and it's just a matter of the pressing being as interesting as the thrills here.","10"
"prithukvb","Non spoiler review - An Emotional & Cinematic masterpiece","27 April 2018","To be honest there are many things which you can applause for Being a Marvel & DC Comic book reader i would like to say :-

In 1 line - ""Be prepared to witnesses this spine chilling story""","9"
"FKDZ","Avengers: Infinity War","8 May 2023","Avengers: Infinity War is action filled blockbuster with great pacing and a memorable ending. Stakes and strong performances make this a enjoyable experience. I'm a bit late to the party. But I've liked GoTG enough to watch both volumes and now wanting to see the third, I found out I needed to catch up on some stuff. Most notably Infinity War and Endgame.

Directing and visuals are great. CGI is fantastic. This really is a spectacle, I get it how you'd want to watch this in the theaters. Action sequences can become quite tiring in their chaos though. Sometimes it just moves around too much. It's rare though, most scenes are easy to follow. Generally though just really solid. To be expected.

Story and writing, overall the story is great and in my opinion a good way to cut the bloat. If anything the acquirement of the first infinity stone was a bit lazy. As it happend entirely offscreen. Especially coming from GotG it's jarring. We just needed one scene to show how ''presumably'' simple it was. Even though that would be Thanos's first stone therefore he wouldn't be that strong yet, he still did without a challenge which makes his power seem a bit unbalanced. Overall story is great like I said. There is one goal, combined through multiple storylines. Most of the characters had some objective. Comedy writing, to my surprise Infinity War's tone is a bit more serious than what I expected. The one liners are still there, but not to the point where I had to roll my eyes.

Music, the main theme is really effective. But in general the music felt underwhelming for some reason. It was never really present nor did it elevate some moments as much as it should've, like in Wakanda. When watching, you can't not compare it to similar scenes like LoTR. But one is much more effective than the other. The buildup is lacking here, mainly due to the lack of fear. Which has always been a sticking point in Marvel movies, genuine fear.

That said, it was well paced, the 2,5 hours did not feel long at all. I enjoyed it.","8"
"mikayakatnt","Probably one of my favorite Marvel movies","19 March 2020","It's nice seeing a superhero movie where the heroes don't win in the end.

Was expecting to be bored but enjoyed it throughout. Long drawn out action that stays fresh throughout.

4/5.","8"
"jakupfr","Idiotic movie!","13 August 2018","I have loved Marvel....but this movie is just stupid...crying Hulk? Seriously?

I'm still angry after watching the movie...and has been days now.

New-age ending...bah....can't even bother to write anything...I just hated the movie...period","10"
"Alexander_Blanchett","One of the best MCU films","26 April 2018","A fantastic sequel and one of the finest of the MCU. It was not perfect but it was hell of a fun film with more twists than all those films combined. I think it was a very challenging task to bring all these characters together but it worked. I really loved the new combinations and relationships of the different characters which were incredibly dynamic. Also the portray of Thanos was fantastic. Sure they could have worked a little more on the effects but he way the character was written was excellent and extremely unexpected because it was not the kind of one dimensional and boring villain I would have expected. They really gave him a lot of soul and possibly more than any of the other characters with the exception of Zoe Saldana's Gamora, which marks Saldana's best turn with that character. Robert Downey Jr. was his usual self but more fun than in this latest Tony Stark appearances. Chris Evans was rather boring. Chris Hemsworth was pretty fine. Chris Pratt (jeez too many Chris's) was funny and self ironic. Scarlett Johansson was a bit wasted. I am not really fond on the direction they develope Bruce Banner/Hulk and Ruffalo can do better. Nice to see Chadwick Boseman so short after his own adventure again. Tom Holland really developed into the best Spider-Man. Really liked his performance here again. The visuality was great. Most of the action scenes just brilliantly executed. The score was great. I had many shivers down my spine. The ending was shocking , but I somehow can imagine how they will continue and in which direction the last sequels goes. Great entertainment with a lot of tense, heart, soul and surprisingly moving moments.","9"
"carlosarella","The best MCU movie","2 September 2019","The only movie I've seen where the villain really does what he said he would do.","8"
"christianssteger","A New Excitable Film Inside MCU","7 April 2019","1. Thanos is the greatest villain in the MCU! With believable motivations, depth, and just a great performance in the film.

2. This movie is exciting! This movie feels like a hype train leaving the station all the way throughout. It makes you happy, emotional, and at the edge of your seat!

3. The greatest action sequence since Civil War! The Wakkanda sequence is action packed, energized, tense, and every character has a moment to shine.

4. Gamora is SO MUCH MORE DEVELOPED! They took an ok character, to one of the highlights of the film! Some great acting comes from Zoe in this movie!

A Few Complaints:

1. Thor's subplot is incredibly BOOORING! Think how cool it would have been to shoot lightning like in Ragnarock, but they take a step back and give him another hammer.

2. It doesn't feel like an Avengers film! The Avengers never assemble, it includes so many other characters! It could of had a better focus.","10"
"athies","Abrupt wedding invitation :)","22 September 2018","Stud 10 S?

Mastered invisibility :)

Blanket of Death :)

Sometimes you have to just enjoy.

Skeletor!

Swords to Plowshares.

Very interested as to what will happen next.","10"
"Mcduff3601","Not bad Marvel not bad","7 August 2018","I am a huge fan of the comic series this is adapted from and was hoping it would be epic, like the comic book. It wasn't terrible (but alas not close to the awesomeness of the comic). Lately Marvel movies have been rather meh, this one was much better, maybe because it didn't focus on any on character for very long, had enough humor and action to keep the pace going.

I am coming to the realization that these movies are really geared towards kids, and made entertaining enough so the parents won't be put off by watching. When I think about it like that 12 year old me would have been giving this a 10 and I would have wanted more more more.

Out of the recent Marvel movies I have seen, Black Panther and Spider man, this one is the best, followed by Spiderman and Black Panther.

Looking forward to the next chapter.","8"
"corozin","Actually pretty dreadful.","27 April 2018","I know this is going to go against the grain of a lot of the early reviews here, but frankly I thought this was a pretty dreadful movie.

This one stacks so many superheros into the same film that very few of them actually get more than a few minutes of screen time each. Superheros which are all dedicated to protecting the people of earth, who barely feature at all except for a few frames.

A number of well established characters are bumped off almost at random, and the now almost mandatory overlong, over noisy, confused Transformers-esque action sequences are weirdly punctuated by an approximately 30 minute segment in the middle where absolutely no plot advance occurs at all and which could have usefully have just been cut with no impact save to reduce the boredom.

Coming so soon after the Black Panther movie it seems Marvel are now intent on creating some kind of endless production line of ""blockbuster"" titles 2 or 3 times every year. I am completely weary of this, as the story quality is frankly going through the floor like a bad soap opera.

Just about the best thing I can say for this movie is that it is better that Justice League, but frankly that movie didn't set the bar high at all.","8"
"amanaryan-27136","Masterpiece.","30 April 2019","Just one word defines the movie. A great way to begin the end. In my opinion, it deserved an Oscar. A must watch that blows away your mind and leads you to question the stability of anything and everything.","1"
"BrnzReviews","A Marvel Cinematic Masterpiece!","14 May 2021","This was an amazing film to experience, whether its on the small screen or the big screen. I enjoyed the story as well as everything that came with it, such an intense story but as always marvel can throw in some jokes as they should it makes it so much more fun to experience, feels like a comic book come to life!

This is the movie you need to see before endgame, I was so hyped for this movie and it paid off in the best way possible.

Make sure you watch this movie, i saw it a while ago but it deserves a review.","9"
"DLochner","More action, more superheroes","22 March 2020","In terms of content, the third part feels rather void for strangers to the genre. Because all in all, compared to the first two parts, there is simply more action, more superheroes and even more aggravation towards the unforeseeable end. But it's great to see the Avengers getting more and more involved in the story from part to part. In this third part it gets serious. Because the villain is attacking the earth. Here too, new heroes are added, such as Spiderman and Doctor Strange. The technical effects in this part are extremely overwhelming and well done. Camera, sound and music result in a uniform dance. The film captivates you and sprints from one action sequence to the next. Only the final remains, and with it the last part of the Avengers.","10"
"atrevino90","I understand why people love it, but...","11 May 2018","First of I'd like to say I did liked the movie, it was better than I expected it to be, and for the amount of characters they were very well handled for the most part. The problem is Marvel in general, they have managed to do a giant TV series, some episodes are good, some are straight up bad, but they keep you hooked and basically force you to watch all the movies to enjoy this one, you see, this movie will not age well, simply because as a stand alone, it is not a good movie, people defending it has a plot, no it does not, the plot is the entire marvel universe, but the movie has very little and at times inconsistent plot, as an example how come Vision was probably THE most powerful avenger in Civil War having the mind stone and all and in this movie is a complete rookie who needs saving by a simply enhanced human, but I wont get into much detail on the inconsistencies, the movie works because its fan base are blind to what a good movie should be when it comes to marvel, granted Marvel is not meant to be a Dark Knight Trilogy, its made to entertain more simple minded audience and as I said it is enjoyable to watch, but only if you watched everything else and you shut your brain a little bit to not get annoyed by the inconsistencies and lack of plot or good script.

The other thing I wish would have impacted me more (SPOILER) are the deaths, I felt nothing from anyone dying in this movie, and before you say Im just stone cold hearted it's not because of that, Marley and me did made me cry for example, the problem was that none of the deaths feel permanent, not even Gamora which was the saddest death anyway, but I believe she is simply trapped in the soulstone and they can still get her back somehow for guardians of the galaxy 3, thats the other thing, you see all these movies planned with characters that are supposedly dead it's hard to believe they are really gone for good, Marvel has become famous for never actually killing its characters or rarely and only when they dont serve any purpose, compare any of them to the death of Rachel on TDK, that death alone had more impact than all these deaths combined

With all that said, it was certainly an enjoyable movie, just not as much as people claim it is, this movie deserves an 8 at most but probably a 7.5 would be a better fit, 5 being an okay movie you did not hate but forgot you even saw, 10 being masterpiece 7.5 is good and memorable but no close to a masterpiece","10"
"bis-51110","Best MCU movie","5 May 2019","Reviewing this after end game. This movie is hard to beat. They did an excellent job with this MCU film. Thanos was excellently presented.","9"
"lotekguy-1","Big budget, big cast, big bang for the buck - lives up to its hype","26 April 2018","Since everyone likely to watch this has already seen plenty of Marvel Comics' superhero movies, let's keep this one simple, with a good news-bad news format:

Good - More superheroes appear in this one than you could shake Thor's hammer at. Bad - It's occasionally hard to keep track of who is using which power against which enemy or henchperson thereof.

Bad - It runs 2 ½ hours. Good - The action is so (dare I say?) fast and furious that it sure seems a lot shorter.

Bad - After all that time, the movie ends with a lousy situation, including some surprising deaths, just to set up a sequel. Good - Since the power to control time is one of the themes, maybe the sequel will undo some of the losses we witnessed in this one.

Good - Stan Lee's cameo comes early, allowing focus to remain on the main story. Bad - What could possibly be bad about a Stan Lee cameo? They're always nothing but degrees of good.

Good - Josh Brolin looks and sounds suitably menacing in the role of archvillain Thanos, while also showing more emotional layers than usual for the genre. Bad - The handsome Brolin, in full regalia, bears a shocking resemblance to Ron Perlman, which would be a serious loss of points on the old 1-10 scale if carried over to his real life.

Good - Wonderful comic touches from Robert Downey Jr.'s Iron Man/Tony Stark and the crew from Guardians of the Galaxy. Bad - Much of the action occurs in such dark, ominous settings, creating the impression of DC Comics having invaded this universe. Even Darth Vader would have wanted to redecorate Thanos' spacecraft and environs top cheer the place up.

Bad - Dave Bautista's endearingly dense Drax is getting even dumber. Good - At least his form of stupidity is funny, unlike the same trend in the US Congress.

Good - Thanos' evil plot is to save all the planets in the universe that have become overpopulated by wiping out half of their populations in a single stroke. Since he offs them randomly, he thinks it's fair, making him the ultimate eco-warrior. Bad - See previous comment about US Congress, whose collective thinking is no better.

Good - Scarlett Johansson appears as Black Widow. Bad - She doesn't get enough screen time to display her lithe and lethal skill set to full advantage. Actually, the same pairing applies to lovable tree-creature Groot, but for very different reasons

Bad - The credits are really, really long. Good - The standard teaser after they finally roll past is worth the wait.

Good - Franchise fans (who, unlike me at the time, already know this isn't a one-and-done story line) should be delighted by the script and the overall quality of the production, including all the CGI vistas and mayhem. Go to the biggest screen and most enveloping sound system in driving range, since there's plenty of action worthy of those enhancements. Bad - If you've not already seen a fair share of the zillion movies or read a bunch of the decades of comics featuring Thor, Spiderman, Iron Man and all the other characters converging to defeat this epic threat to the universe, don't start here. You'll be a stranger in a strange land.

In space, no one can hear you bond.","10"
"jamesorobber","Absolutely Phenomanal","27 April 2018","This film blew me away with how good the acting and the special effects were well done Marvel, please don't listen to all these idiotic people that gave it terrible reviews they're wrong.","6"
"spsgroup1","Like watching a video game","7 June 2018","Excellent visual effects, creative and artistic in 3D. Too many characters in this film with too many subplots. Many of the main superheroes have been stars in their own superhero films. Not much time spent with each one, but there were some entertaining, but brief, performances. Most of the film involved aliens and superheroes being either blown up or shot. Although I felt transported into outer space with the amazing visuals, the story seemed to never end and was predictable up until the ending. I think I saw 1,000 aliens get massacred in total. The ending stunk, a real let down.","10"
"lashannonmccombs","UPSETT","8 July 2019","It shoudn't end this way (starts crying). However, it was great. Marvel really knows how to entertain.","9"
"vishalmellark","BEST OF MARVEL","11 August 2018","MARVEL AT ITS FINEST ! Infinity War is an absolute achievement !","8"
"Mike_Devine","A Marvel film that hits all the emotions","22 January 2019","After 10 years of the current era of the Marvel universe, 'Avengers: Infinity War' marks the beginning of the end for the stories of many of the characters we've grown attached to throughout multiple film entries. What else can you expect but a gargantuan cast that brings together nearly every single major superhero and supporting character?

It's difficult to keep track of everyone in 'Infinity,' as different factions team up with each other, whether it's the 'Guardians of the Galaxy' crew splitting up with the likes of Thor and Doctor Strange or members of the original Avengers crew heading to Wakanda for a last stand of sorts to protect an infinity stone, everything is all over the map. But regardless of where our heroes are physically in the universe, they are united in their mission to defeat big bad guy Thanos before he can wipe out 50% of all living things in the universe.

Despite the obvious bloating that 'Infinity' experiences, the film works very well. It feels as grand as it's billed, and lives up to the hype. There's plenty of material here, from the stylized action sequences we come to expect from Marvel fare to humorous banter between the old friends - and some new ones - when everyone crosses paths. In this sense, 'Infinity' feels more like a space opera than it does your typical superhero blockbuster. There's also an ominous tone that 'Infinity' takes on as it becomes clear that the situation is dire, and it's a hard pill to swallow when events transpire, including the final moments of the film that leave many breathless. One of the few criticisms of the film is that it moves too quickly - the story could have unfolded much better as a Netflix series, but of course the filmmakers did what was necessary to get it to an appropriate runtime.

The Russo brothers deserve much credit for being able to tame this beast of a movie, and it's likely that 'Avengers: Endgame' will be a must see when it hits theaters in April.","6"
"JoeYabuki","Imminent danger.","27 April 2018","Drama, action, comedy & imminent danger; Visual FX & CGI are beautiful; it has great landscapes that put you in the movie; photography is pretty good; camera in hand is also immersive & gets you into conflict; it has a lot of humor, more that Marvel's previous ones (except Thor Ragnarok), also, this humor is too good, you laugh all the time with the interactions of the characters & it's set to relax from the tension & drama; the film handles the emotional aspect well in moments, i didn't feel anything in others, since they want to make you cry by repeating the same situations from previous movies in MCU; Doctor Strange has a lot of power, as well as Thor; Thor & Rocket Raccoon have good chemistry; Thanos is the best villain of MCU, terrifying & imposing, main protagonist; best film since The Winter Soldier; the Black Order is good, although inconsistent, have great powers & fight well, but when they face someone with low level, it turns out that they win them for the convenience of the script, terrible & meaningless; it feels like a 5-hour movie, but split into 2; waiting the next year for the second part.","2"
"isackbotkarov","Best Fiction War","2 February 2022","I think this film is an excellent film, entertaining, thrilling and enjoyable to watch, this film also features a story that is not easy to guess and makes the audience curious and want to continue to look forward to its continuation.","9"
"sharcomer","Everything I hoped for, and something's I didn't","28 April 2018","I left the theater like "" no! No! It can't be!!"" No spoilers here, but oh my goodness what a film! I was literally on my seats edge. There are so many questions I need answering now. Even with the going in and out of scenes it all stayed together, it was very cohesive. Just crazy good.","9"
"greenwhich","Thank You","8 August 2018","I absolutely liked it. Superheroes especially Marvel I can only take in smaller doses, but when we get all those superheros in this film it is so Epic. On their own they can often drag out. DC Batman/Superman/Dredd however I am more inclined until they don't combine well, because they are stand alone, and any justice league seemingly only really stole from Marvel.

I admit this film is gonna be marmite to some, love/hate possibly due to continuity. But it's worth it unless they predictably Disney next. There should be a price. Look at our World. Otherwise I might stew. As far as the current trilogy so far, it's very hard for me too pick a winner between the first and the 3rd? The first started it and was a great film, the 3rd however you must watch and make that marmite opinion. Forget the second I didn't like it, many reasons, but that's a separate review. Infinity War certainly lives up too its hype, it is so fresh and enjoyable, they didn't look stupid like all stand around jacking each other off in those other superhero movies where they all do a line dance, singing like a bad music video. It had enough clever one-liners, comedy not too impact its telling, but enough humor for it to also be a hoot. And its visuals, choreography, and story are masterful.

Thank you for this addition. It was amazing, and a favorite.","10"
"amanshowdagor","overall good","17 July 2021","Everything completely balanced. I want those days back when it released. Totally satisfied with this one.","10"
"tman-05304","worse then ironman 2","3 May 2018","You know you can wrap a a pile of poo in pretty paper and bow but still a pile of poo and thats what this movie is sooooo disapointed","8"
"Cozantifarmer","Probably the best cinema experience I'll ever have PART1","15 May 2020","What an incredible film. After watching every movie in the series, to see them come together like this is really something special.

For the first time, this felt like an experience rather than a film.

What they did with Thanos here is nothing short of brilliant.

Loved it.","7"
"capaldimark","A breath of fresh air for the MCU","29 April 2018","Over the last 10 years, Marvel Studios has built their own cinematic universe through various movies, each one getting bigger and bigger and leading up to this very movie, ""Avengers: Infinity War"". It's a movie that was essentially 10 years in the making, and with all the buildup and hype through the years, the question remains: Does it live up to the hype and meet expectations? Not only does Infinity War do both, it also manages to be a breath of fresh air into the Marvel Cinematic Universe.

What Marvel has done with their cinematic universe over the past decade is nothing short of astounding. To be able to produce as many movies as they have and still keep the attention of the fans is a true example of good storytelling. The culmination of this good storytelling comes in the form of Infinity War, directed by Anthony and Joe Russo, which takes place after the events of 2016's ""Captain America: Civil War"", also directed by the Russo's. After their big fight with each other in that movie, the Avengers became a fractured, divided group. Some have even gone into hiding. However, they must put their differences aside for the sake of the universe when they learn of Thanos (Josh Brolin), who is seeking to collect the six infinity stones to have the power to wipe out half the universe, which he claims will bring balance to the universe. On the surface it seems like the typical Marvel superhero story, but there's something different here. This is darker and more bleak than pretty much any other Marvel movie. It goes places you wouldn't expect a Marvel movie to go to, and by doing so it feels unlike any other Marvel story before it. It also does a good job with keeping the viewer guessing what's coming next, and there are some twists and turns that leave the viewer always anticipating the next turn of events. In short, it's unpredictable, even all the way to its shocking ending. It's certainly a breath of fresh air when compared to the more traditional and predictable stories they have done recently. Kudos to Marvel for pulling all of this off.

What's interesting about Infinity War is that while it is the biggest Marvel movie ever in terms of the amount of characters and its sheer scale, its story is a more personal one that also has its fair share of emotional moments. Many of the more personal and emotional moments involve the villain, Thanos, which was a smart move because it gives the viewer insight on why he does what he does and the sacrifices he has to make to accomplish what he sets out to do. It establishes him as more of a complex, fleshed-out character instead of just some big, dumb bad guy that's in it to cause havoc. It's what makes Thanos easily the best MCU villain yet. The writing team of Christopher Markus and Stephen McFeely deserve major props for this.

Although the story is dark, the movie has its fair share of humor that helps lighten the mood. While it's good to have humor, it can be a bad thing when there's too much of it at the wrong times, which tends to happen in Infinity War. There are a good amount of scenes, especially in the first half of the movie, where the humor would get in the way of the drama, which ended up getting a bit annoying because it would take away from the dramatic tension. The comedic scenes also tended to last a bit too long and drag on, especially during one scene involving the Guardians of the Galaxy and Thor. It was an issue early on, but fortunately got better as the movie went on.

As usual, the cast is great, with basically everyone returning from the previous movies. Whether it's Evans, Downey, Johansson, Hemsworth, Ruffalo, etc., it's always a joy to see these actors having fun with one another, and it helps that they have great chemistry with each other. Josh Brolin is also very good as Thanos through motion capture and voice over, and he helps make Thanos not only an intimidating villain, but just an all around good villain.

In short, Avengers: Infinity War is a thrilling and unpredictable journey that not only adds to Marvel's continuing success at the movies, but also raises the bar for the Marvel Cinematic Universe. If Infinity War is any sign of what's to come from Marvel in the future, then I can't wait to see what they have in store for us. Bring it on!","10"
"andrewroy-04316","Infinity War somehow lives up to the crazy hype train and delivers a bold hit","30 April 2018","I love that Marvel said this would be the movie event that everything led to, and then didn't shy from the moment and made a great movie. It's extremely difficult to tie the enormous number of characters in together without having the movie just be exposition, so they did a great job of focusing on Thanos and how he affects the Avengers and using the previous movies as crucial backstory. They did a great job of clearly explaining Thanos' mindset and justification, and I found his character arc intriguing and very believable. The visuals and performances, especially from Saldana, were great as always, and I thought the pacing of the movie was great. Certainly an emotional ending, and it didn't quite feel like it had that amount of weight as it seems certain that half of people who died will be brought back, but regardless of the implications, it was a good ending for the movie. I thought Thor's journey for his hammer and the explanation of why he needed it after seeming to not need it in Ragnarok, how he made that one attached to him, and why the dwarf was so necessary were all not well explained, but in the grand scheme of the movie it doesn't really detract and was just a lesser section. Downey was excellent, and I loved their focus on him and Cumberbatch. Infinity War was the most excited I've ever been for a movie release, and it absolutely delivered.","10"
"eagandersongil","A great movie","27 April 2018","A gigantic, monumental film in every aspect, with epic battles, absurd development and spectacular villains, ""Avengers - Endless War"" is not only characterized as the best film of Marvel, the film also presages to be one of the best hero movies already made, and the only reason for not being such, is that in the end, we little believe what we see, because we know, that the situation will be reversed in the second, after all, it's a hero movie. The script that tells the story of Thanos, a kind of man who intends to give mercy to the world killing half of its population, thus ending, with the shortage, Thanos is a hero of absurd development, and beats head-on with Nolan's joker, as being the best villain in the movie of heroes, putting different universes and countless heroes in the same universe, the directors are successful in embedding several stories, not always with a perfect rhythm or the perfect excuse for, but, it does not get boring, nor gets to leave one or the other too much to corner, which is a merit grade. The cruelest thing about the film is that we understand that Thanos wants to end half of the universe, the character does not think of it as genocide, but an act of mercy to the suffering of people, and we can not support it, but we understand its actions, Thanos is not a sovereign and robotic villain, he is human, perhaps and strangely, the most human of the film, and watching coldly, perhaps the hero of the film, this characterization of Thanos and the development of it, is simply brilliant and magnificent. Technically the film is a show of special effects, and directing action scenes, great choreographies and frames, and cleverly putting battles in separate areas, not creating a big mess in a single center with all the heroes, even so, sometimes it seems that something came out in the editing, the transition in many moments is completely inorganic, just like your photo revesa and changes according to the core on screen, although this is not necessarily bad, it's just a touch of visual marking, well adjusted soundtrack, jokes in the right moments and well-balanced drama, Avengers infinite war is a well directed and finished film. The cast is fine, nothing too spectacular, even because no one has a lot of screen space, but they all play their role well, with a small highlight for Robert Downey Jr and Tom Holland, in isolation, """" Avengers - Infinite War ""is a spectacular movie , with small problems, it's true, but still spectacular, which does not give him a soul of genius and unique, is that we know that his story will continue, and everything shown so far will change, intrinsically, this disrupts our experience with this but nevertheless, contemplate the best film of Marvel.","9"
"jeromesgabilo","MAJOR MCU MILESTONE OF A MOVIE","2 August 2021","Everything about this film is great: the graphics, the storyline, the characters, the twists, the action, etc.","10"
"enzotadah","I'm rating it a 10 because it's the Avengers.","9 November 2019","I'm surprised that almost everyone loves this movie, because there are parts that make me think ""WHAT? WHY?!"" It made me mad at the Russo Brothers until I saw ""Endgame.""","10"
"JakeBrinkman","Worth the decade of build up","30 December 2018","Marvel has been building towards this movie since the MCU began in 2008, and this movie meets every expectation for such an ambitious climax. This film doesn't get a 10 from me because I never really felt a particularly awe-inspiring moment such as I did during Captain America: Civil War, although this movie still produces plenty of scenes that make any invested fan experience a range of emotions.","10"
"viru-26007","Best movie ever","15 May 2021","Best movie ever.

Waiting for more movies from marvel studios.","8"
"tk-to-dj","Nothing Can Prepare You For This Cinematic Event of A Life Time","26 April 2018","Nothing can prepare you for this cinematic event of a life time. With 10 years of ambitious story telling and a teased villain, it's finally here!

It's time to assemble the team! We have Iron Man, Captain America, Thor, Black Widow, Hulk, Doctor Strange, Spider-Man, Scarlet Witch, Vision, the Guardians of the Galaxy, Falcon, War Machine and more because I'm running out of breath!

After 160 minutes of this crazy rollercoaster the only words you'll be saying is ""Woah"", then you'll go straight back to the queue to buy another ticket. Yes infinity War does pay off.

Everyone gets their moments in the limelight. Tony Stark and Peter Parker, there's a fun nod to the movie Aliens and a squid ward joke too! Vision and Scarlet Romance, Bruce Banner talking to Hulk, Guardians meeting Thor and finally Captain and Black Widow, these pairs are a treat to watch. But this isn't all about the avengers, it's more about Thanos and his journey on hunting all 6 Infinity Stones to keep the universe in balance so that he can re-create all of creation in his monstrous image. We get a brief of his past, his lovely Gamora and what he will do to complete his destiny. Let's just say Thanos ""Throws"" away this relationship which has left Gamora feeling ""flat"" hehehehe.

You don't have to view all 18 MCU films, but they do help you keep track on what's going on like where the stones are, who this person is etc. It will make the experience much better and clearer.

This is an impressive achievement that they have accomplish, there's a lot going on this film and it's hard to even do a spoiler free review. There are so many glorious moments in this film, from the jokes and banter to the insane action sequences in Wakanda and Thanos himself. I love how he starts off with armour then every time he collects a stone, a piece is fallen off. I even like the different abilities the gunlet has, it's nothing like you have ever seen before. But by far my favourite scene is the ending, it just ends. It may feel unfinished or feel like a half film, but it's more of a emotional punch that you'll never get over with.","6"
"bhernandez2216","Wow! I mean, wow","8 March 2019","Avengers: Infinity War is absolutely everything that every comic book film ever wanted. It had the action, humor, and heartbreaking scenes of their favorite characters died in the film, and I can't tell you who dies in the film. I really enjoyed Part 1 of Infinity War, but If you have not see Avengers: Infinity War, go see it. And don't miss one post credit scene. It might surprise the audience.

Thanos will return","9"
"dodsonmia","What sort of ending was that?","2 August 2018","WTH!? I hate you Thanos, but Josh Brolin did an excellent job...I am very disappointed with the ending though.... How long do we have to wait for answers?","1"
"bayupahleza","Live up the hype, but still close to the the greatest movie of all time","30 April 2018","Do you know how many days until I can buy two tickets? It's 10 days. This is finale of decade long and exhausting of marvel journey. Everyone in my country (Indonesia) sure had a lot expectations comes from this franchise. To sums it up it is the most ambitious not only for hero movie but whole movie industry with huge cast, mesmerizing cgi, which lead to the huge budget pour to the project. And ladies and gentlemen, avengers infinity wars lies upon you. I'm enjoying every moment Russo has to offer, and find my self drowning in the plot. Unfortunately, too many heroes need to shines, cast away the spotlight of main event. Everyone's plot felt rushed into one and another. This is the failure you can find in Batman vs superman. One time focus on captain America, ok it's done move your way to iron man, go go go to guys of guardian of galaxy, enough back to captain. And it goes over and over again until ending credit rolls. It ruins the great moment that has been built, and you can guess the epic Part fail to show up. Too many plot holes in the movie, and Russo can't cover it, because 2 hours wasn't enough. Don't believe everything I've wrote, go see for your self. It's not only I want you to see why I give 8 out 10, but also I want to give credit to this movie. It's worthy to your hard earns money","10"
